Adjective,Country,Percentage
Relaxing,Total (A),0.57024697
Stressful,Total (A),0.0583644
Adventurous,Total (A),0.21411929
Tame,Total (A),0.09203169000000001
Cultural,Total (A),0.23392358
Romantic,Total (A),0.2000233
Luxurious,Total (A),0.13769804
Budget-friendly,Total (A),0.25209692
Fun,Total (A),0.49965051
Exotic,Total (A),0.0971575
Familiar,Total (A),0.27877446
Underwhelming,Total (A),0.04403541
Rejuvenating,Total (A),0.27516309
Chaotic,Total (A),0.04473439
Disappointing,Total (A),0.03448276
Lonely,Total (A),0.04077353
None of the above,Total (A),0.00792171
Relaxing,SG (B),0.69919633
Stressful,SG (B),0.07462687
Adventurous,SG (B),0.1836969
Tame,SG (B),0.03559127
Cultural,SG (B),0.33524684
Romantic,SG (B),0.26636051
Luxurious,SG (B),0.10447761
Budget-friendly,SG (B),0.3880597
Fun,SG (B),0.55453502
Exotic,SG (B),0.06429392
Familiar,SG (B),0.21010333
Underwhelming,SG (B),0.05625718
Rejuvenating,SG (B),0.38920781
Chaotic,SG (B),0.05625718
Disappointing,SG (B),0.03559127
Lonely,SG (B),0.03559127
None of the above,SG (B),0.00344432
Relaxing,UK (C),0.57280385
Stressful,UK (C),0.0589651
Adventurous,UK (C),0.2166065
Tame,UK (C),0.04693141
Cultural,UK (C),0.19133574
Romantic,UK (C),0.14320096
Luxurious,UK (C),0.16967509
Budget-friendly,UK (C),0.25872443
Fun,UK (C),0.52587244
Exotic,UK (C),0.07701564
Familiar,UK (C),0.23104693
Underwhelming,UK (C),0.03610108
Rejuvenating,UK (C),0.244284
Chaotic,UK (C),0.04933815
Disappointing,UK (C),0.03489771
Lonely,UK (C),0.02888087
None of the above,UK (C),0.01083032
Relaxing,US (D),0.53584906
Stressful,US (D),0.08553459000000001
Adventurous,US (D),0.2490566
Tame,US (D),0.07798742
Cultural,US (D),0.17610063
Romantic,US (D),0.22264151
Luxurious,US (D),0.14591195
Budget-friendly,US (D),0.23144654
Fun,US (D),0.5081761
Exotic,US (D),0.09433962
Familiar,US (D),0.29811321
Underwhelming,US (D),0.05031447
Rejuvenating,US (D),0.21509434
Chaotic,US (D),0.0754717
Disappointing,US (D),0.06540881
Lonely,US (D),0.05786164000000001
None of the above,US (D),0.0163522
Relaxing,CN (E),0.50455927
Stressful,CN (E),0.0212766
Adventurous,CN (E),0.14387031
Tame,CN (E),0.02026342
Cultural,CN (E),0.26342452
Romantic,CN (E),0.25227964
Luxurious,CN (E),0.11550152
Budget-friendly,CN (E),0.19554205
Fun,CN (E),0.40324215
Exotic,CN (E),0.16514691
Familiar,CN (E),0.14994934
Underwhelming,CN (E),0.03343465
Rejuvenating,CN (E),0.30091185
Chaotic,CN (E),0.01317123
Disappointing,CN (E),0.01519757
Lonely,CN (E),0.03242148
None of the above,CN (E),0.00101317
Relaxing,KR (F),0.59619687
Stressful,KR (F),0.03914989
Adventurous,KR (F),0.08836689
Tame,KR (F),0.0458613
Cultural,KR (F),0.2393736
Romantic,KR (F),0.10290828
Luxurious,KR (F),0.1163311
Budget-friendly,KR (F),0.13870246
Fun,KR (F),0.51230425
Exotic,KR (F),0.15436242
Familiar,KR (F),0.31767338
Underwhelming,KR (F),0.04474273
Rejuvenating,KR (F),0.32102908
Chaotic,KR (F),0.02348993
Disappointing,KR (F),0.03914989
Lonely,KR (F),0.01789709
None of the above,KR (F),0.01118568
Relaxing,UAE (G),0.45484222
Stressful,UAE (G),0.05875952
Adventurous,UAE (G),0.34276387
Tame,UAE (G),0.11425462
Cultural,UAE (G),0.22198041
Romantic,UAE (G),0.3297061999999999
Luxurious,UAE (G),0.29706202
Budget-friendly,UAE (G),0.29488575
Fun,UAE (G),0.62132753
Exotic,UAE (G),0.07834603000000001
Familiar,UAE (G),0.2437432
Underwhelming,UAE (G),0.04134929
Rejuvenating,UAE (G),0.2992383
Chaotic,UAE (G),0.03699674
Disappointing,UAE (G),0.03808487
Lonely,UAE (G),0.06093580000000001
None of the above,UAE (G),0.00326442
Relaxing,BR (H),0.6228915700000001
Stressful,BR (H),0.04939759
Adventurous,BR (H),0.25662651
Tame,BR (H),0.09638553999999999
Cultural,BR (H),0.21084337
Romantic,BR (H),0.22650602
Luxurious,BR (H),0.12650602
Budget-friendly,BR (H),0.21686747
Fun,BR (H),0.6072289200000001
Exotic,BR (H),0.07710842999999999
Familiar,BR (H),0.48554217
Underwhelming,BR (H),0.0373494
Rejuvenating,BR (H),0.20120482
Chaotic,BR (H),0.04457831
Disappointing,BR (H),0.02289157
Lonely,BR (H),0.04578313
None of the above,BR (H),0.0060241
Relaxing,FR (I),0.49168646
Stressful,FR (I),0.05344418
Adventurous,FR (I),0.20902613
Tame,FR (I),0.38123515
Cultural,FR (I),0.24703088
Romantic,FR (I),0.13776722
Luxurious,FR (I),0.06650831
Budget-friendly,FR (I),0.16864608
Fun,FR (I),0.32304038
Exotic,FR (I),0.09501188
Familiar,FR (I),0.28503563
Underwhelming,FR (I),0.05938242
Rejuvenating,FR (I),0.35391924
Chaotic,FR (I),0.02612827
Disappointing,FR (I),0.02850356
Lonely,FR (I),0.05463183
None of the above,FR (I),0.008313540000000001
Relaxing,DE (J),0.6269938700000001
Stressful,DE (J),0.06871166
Adventurous,DE (J),0.2196319
Tame,DE (J),0.03680982
Cultural,DE (J),0.27484663
Romantic,DE (J),0.14846626
Luxurious,DE (J),0.10920245
Budget-friendly,DE (J),0.31779141
Fun,DE (J),0.43680982
Exotic,DE (J),0.07361963
Familiar,DE (J),0.3398773
Underwhelming,DE (J),0.0208589
Rejuvenating,DE (J),0.12147239
Chaotic,DE (J),0.05889571
Disappointing,DE (J),0.03190184
Lonely,DE (J),0.03435583
None of the above,DE (J),0.00981595
Relaxing,AU (K),0.61625
Stressful,AU (K),0.08375
Adventurous,AU (K),0.245
Tame,AU (K),0.07625
Cultural,AU (K),0.165
Romantic,AU (K),0.15
Luxurious,AU (K),0.11625
Budget-friendly,AU (K),0.3225
Fun,AU (K),0.5075
Exotic,AU (K),0.0775
Familiar,AU (K),0.25625
Underwhelming,AU (K),0.0625
Rejuvenating,AU (K),0.2825
Chaotic,AU (K),0.07375
Disappointing,AU (K),0.0375
Lonely,AU (K),0.04125
None of the above,AU (K),0.01125
