Rating,Country,Percentage
1,Total (A),0.0
2,Total (A),0.0
3,Total (A),0.01
4,Total (A),0.01
5,Total (A),0.01
6,Total (A),0.03
7,Total (A),0.09
8,Total (A),0.25
9,Total (A),0.31
10,Total (A),0.29
1,SG (B),0.0
2,SG (B),0.0
3,SG (B),0.0
4,SG (B),0.01
5,SG (B),0.02
6,SG (B),0.02
7,SG (B),0.11
8,SG (B),0.29
9,SG (B),0.27
10,SG (B),0.28
1,UK (C),0.0
2,UK (C),0.0
3,UK (C),0.01
4,UK (C),0.0
5,UK (C),0.02
6,UK (C),0.03
7,UK (C),0.09
8,UK (C),0.26
9,UK (C),0.3
10,UK (C),0.29
1,US (D),0.0
2,US (D),0.0
3,US (D),0.01
4,US (D),0.01
5,US (D),0.01
6,US (D),0.02
7,US (D),0.06
8,US (D),0.22
9,US (D),0.33
10,US (D),0.34
1,CN (E),0.0
2,CN (E),0.0
3,CN (E),0.0
4,CN (E),0.01
5,CN (E),0.01
6,CN (E),0.03
7,CN (E),0.04
8,CN (E),0.23
9,CN (E),0.41
10,CN (E),0.27
1,KR (F),0.0
2,KR (F),0.0
3,KR (F),0.0
4,KR (F),0.01
5,KR (F),0.01
6,KR (F),0.06
7,KR (F),0.19
8,KR (F),0.38
9,KR (F),0.27
10,KR (F),0.08
1,UAE (G),0.0
2,UAE (G),0.0
3,UAE (G),0.01
4,UAE (G),0.01
5,UAE (G),0.01
6,UAE (G),0.02
7,UAE (G),0.08
8,UAE (G),0.18
9,UAE (G),0.29
10,UAE (G),0.41
1,BR (H),0.0
2,BR (H),0.0
3,BR (H),0.0
4,BR (H),0.0
5,BR (H),0.01
6,BR (H),0.01
7,BR (H),0.03
8,BR (H),0.16
9,BR (H),0.25
10,BR (H),0.52
1,FR (I),0.0
2,FR (I),0.01
3,FR (I),0.01
4,FR (I),0.01
5,FR (I),0.01
6,FR (I),0.03
7,FR (I),0.1
8,FR (I),0.25
9,FR (I),0.36
10,FR (I),0.23
1,DE (J),0.01
2,DE (J),0.01
3,DE (J),0.01
4,DE (J),0.01
5,DE (J),0.01
6,DE (J),0.03
7,DE (J),0.07
8,DE (J),0.19
9,DE (J),0.34
10,DE (J),0.32
1,AU (K),0.0
2,AU (K),0.0
3,AU (K),0.01
4,AU (K),0.02
5,AU (K),0.02
6,AU (K),0.04
7,AU (K),0.09
8,AU (K),0.31
9,AU (K),0.31
10,AU (K),0.2
